usuarios,genero ,idades,acuidadeVisual,recursoEspecial,escolaridade,utilizaComputador,acessoVideos,frequencia ,dispositivo,programaLeitura,siteVideos,conteudoVideo,dificuldades,interageVideo,interageTipo,conhecerGestual
1,M,25,cegueira total,recurso_Sim,sup. incompleto,Mais de 5 anos,acessaVideos_Sim,diariamente,computador,programaLeitura_Sim,youtube,informacao,dificuldade_Sim,interageVideo_Sim,interageTipo_Pause,conhecerGestual_Sim
2,M,58,cegueira total,recurso_Sim,sup. completo,Mais de 5 anos,acessaVideos_Sim,diariamente,celular,programaLeitura_Sim,youtube,noticias,dificuldade_Nao,interageVideo_Nao,interageTipo_AvancareRetroceder,conhecerGestual_Sim
3,M,30,cegueira total,recurso_Sim,medio completo,Entre 1 e 5 anos,acessaVideos_Sim,diariamente,celular,programaLeitura_Sim,youtube,entretenimento,dificuldade_Sim,interageVideo_Sim,interageTipo_Pause,conhecerGestual_Sim
4,M,31,cegueira total,recurso_Sim,fund. incompleto,Entre 1 e 5 anos,acessaVideos_Sim,diariamente,computador,programaLeitura_Sim,youtube,informacao,dificuldade_Nao,interageVideo_Sim,interageTipo_Pause,conhecerGestual_Sim
5,F,39,cegueira total,recurso_Sim,sup. completo,Mais de 5 anos,acessaVideos_Sim,diariamente,celular,programaLeitura_Sim,youtube,informacao,dificuldade_Sim,interageVideo_Sim,interageTipo_AvancareRetroceder,conhecerGestual_Sim
6,M,50,cegueira total,recurso_Sim,fund. incompleto,Mais de 5 anos,acessaVideos_Sim,diariamente,celular,programaLeitura_Sim,youtube,entretenimento,dificuldade_Nao,interageVideo_Sim,interageTipo_AvancareRetroceder,conhecerGestual_Sim
7,F,38,proximo a cegueira,recurso_Sim,fund. incompleto,Mais de 5 anos,acessaVideos_Sim,diariamente,celular,programaLeitura_Nao,youtube,entretenimento,dificuldade_Sim,interageVideo_Sim,interageTipo_AvancareRetroceder,conhecerGestual_Sim
8,M,42,cegueira total,recurso_Sim,medio completo,Mais de 5 anos,acessaVideos_Sim,diariamente,computador,programaLeitura_Sim,youtube,informacao,dificuldade_Sim,interageVideo_Sim,interageTipo_AvancareRetroceder,conhecerGestual_Sim
9,M,40,baixa visao profunda,recurso_Nao,medio completo,Mais de 5 anos,acessaVideos_Sim,diariamente,computador,programaLeitura_Sim,youtube,informacao,dificuldade_Sim,interageVideo_Nao,interageTipo_AvancareRetroceder,conhecerGestual_Sim
10,M,35,baixa visao severa,recurso_Nao,medio completo,Entre 1 e 5 anos,acessaVideos_Sim,semanalmente,celular,programaLeitura_Nao,youtube,entretenimento,dificuldade_Nao,interageVideo_Sim,interageTipo_AvancareRetroceder,conhecerGestual_Sim
11,F,45,cegueira total,recurso_Sim,medio completo,Mais de 5 anos,acessaVideos_Sim,mensalmente,computador,programaLeitura_Nao,youtube,informacao,dificuldade_Sim,interageVideo_Nao,interageTipo_AvancareRetroceder,conhecerGestual_Sim
12,M,28,cegueira total,recurso_Sim,medio completo,Mais de 5 anos,acessaVideos_Sim,semanalmente,outros,programaLeitura_Nao,youtube,informacao,dificuldade_Sim,interageVideo_Sim,interageTipo_AvancareRetroceder,conhecerGestual_Sim
13,M,17,baixa visao severa,recurso_Sim,medio incompleto,Mais de 5 anos,acessaVideos_Sim,diariamente,celular,programaLeitura_Nao,youtube,entretenimento,dificuldade_Nao,interageVideo_Nao,interageTipo_Pause,conhecerGestual_Sim
14,F,36,cegueira total,recurso_Sim,medio completo,Entre 1 e 5 anos,acessaVideos_Sim,diariamente,computador,programaLeitura_Nao,outros,entretenimento,dificuldade_Sim,interageVideo_Nao,interageTipo_AvancareRetroceder,conhecerGestual_Sim
15,F,54,baixa visao profunda,recurso_Sim,medio completo,Mais de 5 anos,acessaVideos_Sim,diariamente,tablet,programaLeitura_Sim,youtube,informacao,dificuldade_Sim,interageVideo_Sim,interageTipo_Pause,conhecerGestual_Sim
16,F,51,baixa visao profunda,recurso_Nao,medio incompleto,Menos de 1 ano,acessaVideos_Nao,mensalmente,computador,programaLeitura_Nao,youtube,noticias,dificuldade_Sim,interageVideo_Nao,interageTipo_Pause,conhecerGestual_Sim
17,F,23,proximo a cegueira,recurso_Nao,sup. incompleto,Mais de 5 anos,acessaVideos_Sim,diariamente,computador,programaLeitura_Sim,youtube,informacao,dificuldade_Nao,interageVideo_Sim,interageTipo_AvancareRetroceder,conhecerGestual_Sim
18,M,18,cegueira total,recurso_Nao,medio completo,Mais de 5 anos,acessaVideos_Sim,diariamente,computador,programaLeitura_Sim,youtube,entretenimento,dificuldade_Nao,interageVideo_Nao,interageTipo_AvancareRetroceder,conhecerGestual_Sim
19,M,58,baixa visao severa,recurso_Sim,medio completo,entre 1 e 5 anos,acessaVideos_Sim,mensalmente,computador,programaLeitura_Nao,youtube,noticias,dificuldade_Sim,interageVideo_Sim,interageTipo_Volume,conhecerGestual_Sim
20,F,24,baixa visao moderada,recurso_Sim,sup. completo,mais de 5 anos,acessaVideos_Sim,diariamente,computador,programaLeitura_Nao,youtube,informacao,dificuldade_Sim,interageVideo_Sim,interageTipo_Volume,conhecerGestual_Sim
